pathway,pathway_size,overlap,pvalue,qvalue
HALLMARK_INTERFERON_GAMMA_RESPONSE,192,36,2.576921530365245e-07,7.358076846054709e-06
HALLMARK_TNFA_SIGNALING_VIA_NFKB,193,36,2.943230738421884e-07,7.358076846054709e-06
HALLMARK_HYPOXIA,190,34,1.6691888725575521e-06,2.781981454262587e-05
HALLMARK_INTERFERON_ALPHA_RESPONSE,92,21,3.2578126417540113e-06,4.0722658021925144e-05
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,195,33,8.173222989974645e-06,8.173222989974644e-05
HALLMARK_APOPTOSIS,159,27,4.930856524390315e-05,0.00041090471036585964
HALLMARK_TGF_BETA_SIGNALING,52,13,8.787681398798312e-05,0.0006276915284855936
HALLMARK_P53_PATHWAY,188,29,0.00015597213499759193,0.0009748258437349495
HALLMARK_PI3K_AKT_MTOR_SIGNALING,103,18,0.0005933510721203439,0.0032963948451130215
HALLMARK_IL2_STAT5_SIGNALING,192,26,0.0023543113185196408,0.011771556592598204
HALLMARK_UV_RESPONSE_DN,135,19,0.005630411191979179,0.019304194950446513
HALLMARK_MYOGENESIS,195,25,0.0057912584851339535,0.019304194950446513
HALLMARK_IL6_JAK_STAT3_SIGNALING,87,14,0.005029174890096505,0.019304194950446513
HALLMARK_ESTROGEN_RESPONSE_LATE,194,25,0.005423387732412655,0.019304194950446513
HALLMARK_ESTROGEN_RESPONSE_EARLY,191,25,0.0044343435271540005,0.019304194950446513
HALLMARK_APICAL_JUNCTION,186,24,0.006246653326942763,0.019520791646696133
HALLMARK_INFLAMMATORY_RESPONSE,198,24,0.01313544396295918,0.03863365871458582
HALLMARK_HEME_METABOLISM,189,21,0.04452585772052602,0.12368293811257229
HALLMARK_COAGULATION,136,16,0.04755669312521869,0.125149192434786
HALLMARK_COMPLEMENT,194,21,0.05603729168052174,0.14009322920130435
HALLMARK_MITOTIC_SPINDLE,198,21,0.06664744596114461,0.1586843951455824
HALLMARK_CHOLESTEROL_HOMEOSTASIS,71,9,0.08187021227813375,0.18606866426848578
HALLMARK_MTORC1_SIGNALING,188,19,0.11131044312507432,0.24197922418494416
HALLMARK_GLYCOLYSIS,193,19,0.13346074142102107,0.2780432112937939
HALLMARK_ANDROGEN_RESPONSE,94,10,0.1643405054175106,0.3286810108350212
HALLMARK_UV_RESPONSE_UP,153,15,0.17135710157545353,0.3295328876451029
HALLMARK_WNT_BETA_CATENIN_SIGNALING,41,5,0.1895457226806431,0.35101059755674646
HALLMARK_ANGIOGENESIS,35,4,0.2644824269743701,0.47195141204420354
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,47,5,0.27373181898563803,0.47195141204420354
HALLMARK_G2M_CHECKPOINT,185,16,0.3098073906092437,0.5163456510154062
HALLMARK_KRAS_SIGNALING_UP,192,16,0.3640662670825355,0.5872036565847346
HALLMARK_NOTCH_SIGNALING,31,3,0.41229253624060086,0.6442070878759388
HALLMARK_ALLOGRAFT_REJECTION,193,15,0.4778619695470483,0.7240332871924974
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,102,8,0.49815006898310055,0.7325736308575007
HALLMARK_ADIPOGENESIS,189,14,0.5553934230726489,0.7856350270916936
HALLMARK_MYC_TARGETS_V2,55,4,0.5970826205896872,0.7856350270916936
HALLMARK_XENOBIOTIC_METABOLISM,192,14,0.579628373578832,0.7856350270916936
HALLMARK_PANCREAS_BETA_CELLS,40,3,0.5839840427576368,0.7856350270916936
HALLMARK_PEROXISOME,101,7,0.6381299958894049,0.7976624948617561
HALLMARK_APICAL_SURFACE,43,3,0.6336616968173489,0.7976624948617561
HALLMARK_MYC_TARGETS_V1,184,7,0.986669185271919,0.999999999999999
HALLMARK_KRAS_SIGNALING_DN,190,11,0.8493040787030505,0.999999999999999
HALLMARK_HEDGEHOG_SIGNALING,35,0,1.0,0.999999999999999
HALLMARK_FATTY_ACID_METABOLISM,152,8,0.8894133366812316,0.999999999999999
HALLMARK_DNA_REPAIR,143,7,0.9171553601087551,0.999999999999999
HALLMARK_BILE_ACID_METABOLISM,109,5,0.9177197723094097,0.999999999999999
HALLMARK_E2F_TARGETS,190,10,0.9099958086637953,0.999999999999999
HALLMARK_OXIDATIVE_PHOSPHORYLATION,180,4,0.9994963354476498,0.999999999999999
HALLMARK_PROTEIN_SECRETION,95,4,0.931637892358714,0.999999999999999
HALLMARK_SPERMATOGENESIS,131,5,0.9716307954020823,0.999999999999999
